Date,Close,"('Date', '')","('Open', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Close', 'AAPL')","('Volume', 'AAPL')","('Date', '')","('Open', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Close', 'AAPL')","('Volume', 'AAPL')"
,AAPL,,,,,,,,,,,,
2024-12-16,250.43588256835938,,,,,,,,,,,,
2024-12-17,252.8699951171875,,,,,,,,,,,,
2024-12-18,247.4530792236328,,,,,,,,,,,,
2024-12-19,249.1888885498047,,,,,,,,,,,,
2024-12-20,253.87759399414062,,,,,,,,,,,,
2024-12-23,254.6557159423828,,,,,,,,,,,,
2024-12-24,257.57867431640625,,,,,,,,,,,,
2024-12-26,258.39666748046875,,,,,,,,,,,,
2024-12-27,254.9749298095703,,,,,,,,,,,,
2024-12-30,251.59307861328125,,,,,,,,,,,,
2024-12-31,249.81736755371094,,,,,,,,,,,,
2025-01-02,243.26319885253906,,,,,,,,,,,,
2025-01-03,242.7743682861328,,,,,,,,,,,,
2025-01-06,244.41041564941406,,,,,,,,,,,,
2025-01-07,241.62713623046875,,,,,,,,,,,,
2025-01-08,242.11595153808594,,,,,,,,,,,,
2025-01-10,236.28004455566406,,,,,,,,,,,,
2025-01-13,233.83592224121094,,,,,,,,,,,,
2025-01-14,232.71861267089844,,,,,,,,,,,,
2025-01-15,237.2975616455078,,,,,,,,,,,,
2025-01-16,227.710693359375,,,,,,,,,,,,
2025-01-17,229.4265594482422,,,,,,,,,,,,
2025-01-21,222.10421752929688,,,,,,,,,,,,
2025-01-22,223.29136657714844,,,,,,,,,,,,
2025-01-23,223.1217803955078,,,,,,,,,,,,
2025-01-24,222.24388122558594,,,,,,,,,,,,
2025-01-27,229.30685424804688,,,,,,,,,,,,
2025-01-28,237.68663024902344,,,,,,,,,,,,
2025-01-29,238.7839813232422,,,,,,,,,,,,
2025-01-30,237.0182342529297,,,,,,,,,,,,
2025-01-31,235.4320831298828,,,,,,,,,,,,
2025-02-03,227.46128845214844,,,,,,,,,,,,
2025-02-04,232.23977661132812,,,,,,,,,,,,
2025-02-05,231.91058349609375,,,,,,,,,,,,
2025-02-06,232.6587677001953,,,,,,,,,,,,
